timestamp,cpu_usage,memory_usage,process_count,thread_count,keyboard_events,label
2026-05-10 11:28:38.821525,3.5,54.8,203,4,1,benign
2026-05-10 11:31:23.826222,8.8,55.4,203,4,3,benign
2026-05-10 11:33:08.665629,48.4,55.3,201,4,33,benign
2026-05-10 11:33:28.185584,49.6,56.6,201,4,6,benign
2026-05-10 11:33:34.283604,4.6,56.7,205,4,8,benign
2026-05-10 11:33:45.010917,3.8,56.7,205,4,8,benign
2026-05-10 11:33:55.800872,2.3,56.5,205,4,9,benign
2026-05-10 11:34:02.795203,3.1,56.5,205,4,13,benign
2026-05-10 11:34:10.236712,1.6,56.5,205,4,7,benign
2026-05-10 11:34:23.729608,2.7,56.4,205,4,2,benign
2026-05-10 11:34:30.650993,4.6,56.4,205,4,9,benign
2026-05-10 11:34:38.822288,3.8,56.4,205,4,2,benign
2026-05-10 11:34:53.778703,2.7,56.4,205,4,5,benign
2026-05-10 11:35:07.277745,9.2,56.6,206,4,3,benign
2026-05-10 11:35:16.224156,7.3,56.6,208,4,12,benign
2026-05-10 11:51:50.352036,3.8,56.7,207,4,8,benign
2026-05-10 11:52:07.384698,61.6,55.9,210,4,1,benign
2026-05-10 11:59:56.942675,8.8,56.5,214,4,1,benign
2026-05-10 12:00:03.154820,61.3,55.8,211,4,18,benign
2026-05-10 12:00:23.147107,12.1,56.7,212,4,7,benign
2026-05-10 12:00:31.871343,49.2,56.2,212,4,2,benign
2026-05-10 12:00:43.741299,38.7,56.3,212,4,2,benign
2026-05-10 12:01:14.077664,49.8,56.8,213,4,1,benign
2026-05-10 12:01:45.425365,24.4,56.0,208,4,15,benign
2026-05-10 12:02:05.242238,18.3,55.8,207,4,1,benign
2026-05-10 12:02:34.389366,19.2,55.9,206,4,2,benign
2026-05-10 12:02:40.491113,53.3,55.8,206,4,22,benign
2026-05-10 12:02:54.292898,90.5,55.7,204,4,28,benign
2026-05-10 12:03:00.484309,13.1,55.5,204,4,32,benign
2026-05-10 12:05:29.930779,58.6,55.5,204,4,2,benign
2026-05-10 12:05:56.627264,47.9,56.3,204,4,37,benign
2026-05-10 12:06:45.342117,56.8,56.5,207,4,43,benign
2026-05-10 12:06:51.400925,57.9,56.4,207,4,39,benign
2026-05-10 12:06:57.574465,7.7,56.5,207,4,8,benign
2026-05-10 12:09:16.442960,22.8,56.2,206,4,40,benign
2026-05-10 12:09:57.120236,40.5,56.5,209,4,66,benign
2026-05-10 12:11:18.017915,14.6,56.4,207,4,9,benign
2026-05-10 12:11:29.475055,24.9,57.2,208,4,1,benign
2026-05-10 12:11:53.327699,9.2,57.6,214,4,18,benign
2026-05-10 12:12:46.232364,11.5,55.7,205,4,16,benign
2026-05-10 12:13:08.261789,11.6,56.8,203,4,2,benign
2026-05-10 12:15:06.039383,11.1,55.6,203,4,12,benign
2026-05-10 12:16:48.773252,20.3,56.3,205,4,1,benign
2026-05-10 12:22:40.177191,19.1,54.7,202,4,10,benign
2026-05-10 12:22:54.926446,48.5,54.2,208,4,13,benign
2026-05-10 12:23:01.013323,22.5,53.8,206,4,15,benign
2026-05-10 12:23:23.244544,19.5,53.4,206,4,2,benign
2026-05-10 12:23:39.554788,46.2,53.6,208,4,8,benign
2026-05-10 12:24:29.116203,33.7,53.5,207,4,9,benign
2026-05-10 12:25:09.221588,21.9,53.4,207,4,7,benign
2026-05-10 12:25:44.955549,12.5,53.3,206,4,2,benign
2026-05-10 12:27:15.147947,39.8,53.9,207,4,7,benign
2026-05-10 12:27:56.725482,14.5,52.8,202,4,17,benign
2026-05-10 12:29:21.451664,47.5,54.0,206,4,5,benign
2026-05-10 12:29:55.433884,25.2,54.2,207,4,1,benign
2026-05-10 12:46:57.668567,54.6,53.7,206,4,11,benign
2026-05-10 12:49:45.479560,80.5,53.5,210,4,5,benign
2026-05-10 12:50:14.245637,21.8,53.9,203,4,2,benign
2026-05-10 12:50:20.648360,43.3,54.5,204,4,83,benign
2026-05-10 12:54:04.413042,25.8,54.6,204,4,1,benign
2026-05-10 12:57:41.555603,11.7,54.0,202,4,1,benign
2026-05-10 12:57:53.509328,19.5,53.9,203,4,1,benign
2026-05-10 13:00:02.163628,52.3,53.9,204,4,8,benign
2026-05-10 13:00:13.860832,18.3,54.0,203,4,2,benign
2026-05-10 13:01:13.649344,13.3,54.0,203,4,1,benign
2026-05-10 13:01:19.700090,41.8,53.9,203,4,99,benign
2026-05-10 13:01:25.741272,19.9,54.1,203,4,36,benign
2026-05-10 13:02:33.127861,23.0,54.2,202,4,1,benign
2026-05-10 13:03:18.594991,18.4,53.9,202,4,11,benign
2026-05-10 13:03:37.821548,15.6,54.3,207,4,3,benign
2026-05-10 13:03:52.446997,20.6,54.2,207,4,13,benign
2026-05-10 13:32:20.109356,29.2,55.5,205,4,65,benign
2026-05-10 13:33:42.119656,16.4,56.0,210,4,5,benign
2026-05-10 13:34:54.007880,16.4,55.9,208,4,22,benign
2026-05-10 13:35:15.988808,37.9,56.0,207,4,4,benign
2026-05-10 13:35:22.143426,9.7,56.7,207,4,17,benign
2026-05-10 13:35:58.391391,10.8,56.4,207,4,1,benign
2026-05-10 13:38:11.774327,10.9,57.1,212,4,1,benign
2026-05-10 13:39:43.789783,9.3,55.8,205,4,1,benign
2026-05-10 13:40:42.362259,4.7,56.3,206,4,18,benign
2026-05-10 13:41:16.170966,7.3,55.7,206,4,1,benign
2026-05-10 13:42:48.253766,18.5,55.9,205,4,2,benign
2026-05-10 13:43:03.080275,13.8,56.3,209,4,1,benign
2026-05-10 13:43:20.296010,14.2,56.7,210,4,2,benign
2026-05-10 13:44:12.382760,20.9,56.8,209,4,1,benign
2026-05-10 13:44:21.407810,12.1,56.1,207,4,3,benign
2026-05-10 13:45:37.639466,11.6,56.1,207,4,1,benign
2026-05-10 13:47:22.183350,12.1,55.8,205,4,8,benign
2026-05-10 13:47:41.424311,6.5,55.9,203,4,1,benign
2026-05-10 13:48:27.040192,11.8,56.6,204,4,8,benign
2026-05-10 13:49:17.264851,16.2,56.9,210,4,1,benign
2026-05-10 13:49:46.031346,18.1,56.7,206,4,2,benign
2026-05-10 13:50:35.570851,6.2,56.6,206,4,2,benign
2026-05-10 13:52:50.455473,19.5,56.5,205,4,5,benign
2026-05-10 13:52:56.517384,18.8,61.1,209,4,10,benign
2026-05-10 13:53:02.622036,21.5,61.4,210,4,10,benign
2026-05-10 13:53:08.711100,23.3,61.6,210,4,7,benign
2026-05-10 13:53:15.765231,34.4,61.7,210,4,1,benign
2026-05-10 13:54:54.041754,69.6,63.6,210,4,1,benign
2026-05-10 13:56:17.764434,78.1,62.9,215,4,10,benign
2026-05-10 13:58:40.560982,58.1,62.2,213,4,5,benign
2026-05-10 13:58:48.710936,79.7,62.2,212,4,4,benign
2026-05-10 14:02:17.289559,45.2,62.2,211,4,1,benign
2026-05-10 14:04:54.526681,59.4,62.9,214,4,2,benign
2026-05-10 14:05:00.626142,61.5,62.8,211,4,7,benign
2026-05-10 14:05:11.238338,44.1,62.9,211,4,5,benign
2026-05-10 14:09:37.698173,71.5,62.6,211,4,2,benign
2026-05-10 14:11:03.104128,54.2,62.5,214,4,2,benign
2026-05-10 14:12:20.623715,71.3,63.1,216,4,0,benign
2026-05-10 14:23:31.743385,14.5,62.9,215,4,0,benign
2026-05-10 15:05:34.828775,96.4,63.5,219,4,1,benign
2026-05-10 15:05:40.981622,15.6,58.6,213,4,18,benign
2026-05-10 15:05:51.619024,6.2,58.4,213,4,4,benign
2026-05-10 15:06:03.332040,16.2,58.8,213,4,10,benign
2026-05-10 15:06:09.396918,5.8,58.4,211,4,18,benign
2026-05-10 15:06:15.460988,9.4,58.3,211,4,15,benign
2026-05-10 15:09:25.406571,28.1,57.8,211,4,3,benign
2026-05-10 15:10:28.390609,6.2,57.5,207,4,1,benign
2026-05-10 15:12:46.549990,10.7,57.4,207,4,2,benign
2026-05-10 15:13:09.495064,10.3,58.1,211,4,17,benign
2026-05-10 15:13:21.626059,6.2,58.1,210,4,43,benign
2026-05-10 15:13:27.683346,6.6,57.9,208,4,16,benign
2026-05-10 15:13:33.738049,12.9,57.9,208,4,16,benign
2026-05-10 15:13:39.973233,12.5,57.7,208,4,2,benign
2026-05-10 15:13:51.452230,4.2,57.8,208,4,1,benign
2026-05-10 15:14:11.699043,12.9,57.9,208,4,30,benign
2026-05-10 15:14:18.938935,17.1,57.7,208,4,1,benign
2026-05-10 15:14:26.249652,17.2,58.0,211,4,14,benign
2026-05-10 15:14:35.935876,20.3,58.7,211,4,1,benign
2026-05-10 15:16:58.902462,16.7,58.5,211,4,1,benign
2026-05-10 15:18:28.639304,16.9,57.8,206,4,2,benign
2026-05-10 15:18:35.398054,5.4,58.1,210,4,2,benign
2026-05-10 15:19:22.769677,10.5,57.7,208,4,1,benign
2026-05-10 15:19:29.005489,19.9,57.8,206,4,13,benign
2026-05-10 15:19:35.048486,27.3,57.8,206,4,62,benign
2026-05-10 15:19:41.113673,16.5,57.9,206,4,6,benign
2026-05-10 15:19:47.238556,9.0,58.0,206,4,7,benign
2026-05-10 15:20:36.711780,9.2,58.0,206,4,21,benign
2026-05-10 15:23:39.412886,10.8,57.9,206,4,1,benign
2026-05-10 15:24:16.398038,7.4,58.1,208,4,3,benign
2026-05-10 15:28:29.060054,11.7,58.3,209,4,4,benign
2026-05-10 15:30:03.441257,45.8,58.3,212,4,1,benign
2026-05-10 15:30:48.669034,46.4,58.4,212,4,6,benign
2026-05-10 15:34:58.377386,31.5,58.0,210,4,2,benign
2026-05-10 15:42:04.819609,38.3,58.2,211,4,1,benign
2026-05-10 15:42:19.073917,38.9,55.0,212,4,13,benign
2026-05-10 15:44:38.074252,9.0,56.1,213,4,12,benign
2026-05-10 15:45:19.417269,5.0,55.6,208,4,10,benign
2026-05-10 15:45:32.345425,16.9,56.0,209,4,2,benign
2026-05-10 15:46:13.819842,14.6,56.1,209,4,38,benign
2026-05-10 15:46:30.282202,6.2,56.7,210,4,2,benign
2026-05-10 15:46:41.032723,1.6,56.7,210,4,23,benign
2026-05-10 15:47:55.183509,15.0,56.1,209,4,2,benign
2026-05-10 15:48:16.199672,18.7,56.1,208,4,7,benign
2026-05-10 15:48:42.512438,18.8,56.0,208,4,1,benign
2026-05-10 15:49:35.489594,5.9,56.1,206,4,23,benign
2026-05-10 15:49:57.637457,4.7,56.3,206,4,13,benign
2026-05-10 15:51:13.355230,16.7,56.8,207,4,11,benign
2026-05-10 15:53:27.047458,12.5,56.6,209,4,15,benign
2026-05-10 15:53:33.339718,41.2,57.5,211,4,34,benign
2026-05-10 15:55:52.064107,6.2,57.5,212,4,1,benign
2026-05-10 15:57:47.900673,40.1,55.8,208,4,35,benign
2026-05-10 15:59:51.493994,12.5,57.4,209,4,2,benign
2026-05-10 16:00:09.762433,28.0,57.4,208,4,8,benign
2026-05-10 16:00:42.290521,6.6,57.4,209,4,3,benign
2026-05-10 16:00:48.336574,7.7,57.2,207,4,18,benign
2026-05-10 16:02:10.796502,30.1,57.1,207,4,19,benign
2026-05-10 16:02:41.742570,21.8,56.9,206,4,2,benign
2026-05-10 16:02:52.121695,18.1,57.0,206,4,17,benign
2026-05-10 16:02:58.418602,28.6,57.0,206,4,9,benign
2026-05-10 16:07:38.960505,8.4,57.0,205,4,1,benign
2026-05-10 16:08:20.340643,42.7,57.3,215,4,8,benign
2026-05-10 16:08:53.659496,22.6,56.7,213,4,9,benign
2026-05-10 16:08:59.751221,13.3,56.9,211,4,36,benign
2026-05-10 16:09:39.045251,11.5,56.8,211,4,1,benign
2026-05-10 16:09:45.369230,14.2,56.5,209,4,17,benign
2026-05-10 16:09:54.995505,10.4,56.5,207,4,1,benign
2026-05-10 16:10:01.077946,5.9,56.2,207,4,35,benign
2026-05-10 16:10:07.121024,20.8,56.4,208,4,61,benign
2026-05-10 16:10:13.553944,6.6,56.4,208,4,54,benign
2026-05-10 16:10:19.842365,28.4,56.4,208,4,69,benign
2026-05-10 16:10:26.328724,21.2,56.4,208,4,64,benign
2026-05-10 16:10:32.367453,8.4,56.4,208,4,87,benign
2026-05-10 16:10:38.613294,13.8,56.3,208,4,12,benign
2026-05-10 16:10:44.654282,17.6,56.4,208,4,12,benign
2026-05-10 16:10:52.907415,40.0,56.9,209,4,1,benign
2026-05-10 16:11:32.045476,13.8,56.9,209,4,3,benign
2026-05-10 16:11:38.405101,74.6,57.7,218,4,1,benign
2026-05-10 16:11:44.954768,6.9,57.5,216,4,1,benign
2026-05-10 16:11:56.777026,10.0,57.3,212,4,1,benign
2026-05-10 16:12:05.778297,8.6,57.9,211,4,1,benign
2026-05-10 16:12:11.913069,9.3,57.1,214,4,3,benign
2026-05-10 16:13:34.983413,21.9,56.3,214,4,12,benign
2026-05-10 16:21:08.997615,9.8,56.2,210,4,13,benign
2026-05-10 16:21:16.286258,52.7,54.3,209,4,8,benign
2026-05-10 16:21:22.501154,18.2,55.9,210,4,22,benign
2026-05-10 16:21:29.801501,37.6,55.7,211,4,33,benign
2026-05-10 16:21:46.974231,23.3,55.7,211,4,16,benign
2026-05-10 16:21:54.982496,14.1,55.7,211,4,4,benign
2026-05-10 16:22:02.866248,14.2,55.2,210,4,3,benign
2026-05-10 16:22:29.233019,13.1,55.1,210,4,4,benign
2026-05-10 16:22:43.057782,20.7,55.1,207,4,1,benign
2026-05-10 16:22:50.737747,21.2,55.0,207,4,1,benign
2026-05-10 16:24:08.520622,7.7,55.0,207,4,1,benign
2026-05-10 16:24:17.733505,41.8,55.1,207,4,2,benign
2026-05-10 16:24:42.545980,43.0,55.0,207,4,14,benign
2026-05-10 16:25:28.827035,6.5,55.1,207,4,1,benign
2026-05-10 16:29:03.737575,48.7,54.9,208,4,18,benign
2026-05-10 16:29:50.509975,5.9,54.5,209,4,1,benign
2026-05-10 16:29:59.141014,25.8,54.7,210,4,2,benign
2026-05-10 16:30:10.277156,10.3,54.7,212,4,2,benign
2026-05-10 16:32:11.682333,8.6,54.7,212,4,3,benign
2026-05-10 16:32:18.179788,9.3,55.5,209,4,20,benign
2026-05-10 16:33:12.974164,39.1,55.6,209,4,52,benign
2026-05-10 16:34:09.123993,15.4,54.8,208,4,21,benign
