timestamp,cpu_usage,memory_usage,process_count,thread_count,keyboard_events,label
2026-05-11 21:06:10.705761,4.1,51.6,225,8,1,benign
2026-05-11 21:06:32.209234,10.8,54.9,236,8,13,benign
2026-05-11 21:09:02.082906,8.2,54.9,235,8,16,benign
2026-05-11 21:18:49.581018,25.2,60.6,245,8,14,benign
2026-05-11 21:37:14.672442,24.7,54.8,236,8,1,benign
2026-05-11 21:37:33.854095,25.4,50.7,240,8,1,benign
2026-05-11 21:37:42.132099,22.5,51.0,240,8,2,benign
2026-05-11 21:37:49.101088,32.9,52.6,246,8,1,benign
2026-05-11 21:46:20.721213,33.6,52.9,245,8,2,benign
2026-05-11 21:46:26.793887,30.3,50.5,241,8,10,benign
2026-05-11 21:46:33.107051,26.3,50.4,240,8,11,benign
2026-05-11 21:46:39.198189,23.8,50.3,241,8,14,benign
2026-05-11 21:46:47.621398,19.4,50.3,239,8,11,benign
2026-05-11 21:47:00.649209,19.6,50.6,240,8,4,benign
2026-05-11 21:49:33.388362,17.8,50.9,240,8,1,benign
2026-05-11 21:58:02.542301,24.5,56.3,267,8,1,benign
2026-05-11 22:12:36.387244,33.7,55.4,247,8,1,benign
2026-05-11 22:45:20.489258,34.1,47.1,246,8,1,benign
2026-05-11 22:45:29.761238,19.8,48.2,241,8,1,benign
2026-05-11 22:45:44.484959,7.0,48.5,242,8,1,benign
2026-05-11 22:45:54.062864,13.5,48.5,241,8,1,benign
2026-05-11 22:46:23.213296,5.8,48.6,241,8,1,benign
2026-05-11 22:46:32.066709,9.0,48.6,241,8,1,benign
2026-05-11 22:46:53.118581,5.6,48.6,241,8,1,benign
2026-05-11 22:47:06.362504,25.9,49.0,244,8,1,benign
2026-05-11 22:47:27.728448,7.8,49.0,242,8,1,benign
2026-05-11 22:47:55.338229,7.0,49.0,242,8,3,benign
2026-05-11 22:48:23.266749,28.8,48.2,245,8,1,benign
2026-05-11 22:48:36.266488,4.3,47.5,240,8,6,benign
2026-05-11 22:48:49.752247,7.2,47.5,241,8,6,benign
2026-05-11 22:48:55.823119,4.1,47.5,240,8,9,benign
2026-05-11 22:49:07.798801,4.5,47.2,242,8,1,benign
2026-05-11 22:49:29.521711,7.4,47.4,240,8,10,benign
2026-05-11 22:50:14.283740,8.8,47.1,239,8,4,benign
2026-05-11 22:51:53.493668,6.7,47.1,240,8,1,benign
2026-05-11 22:52:21.959937,7.6,47.4,241,8,1,benign
2026-05-11 23:20:11.749992,9.8,47.5,241,8,1,benign
2026-05-11 23:35:56.441063,17.8,49.1,247,8,1,benign
2026-05-11 23:36:14.641875,8.7,45.3,239,8,1,benign
