timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,kernel_openat_delta,kernel_execve_delta,kernel_connect_delta,scenario,collector_type,label
2026-05-27 15:54:24.480732,15,54,24,38.7,43.3,0.0,84.6,27.24,191,191,179,0,3,1,4,5,0,3,445,2.3298,191,1.0,191,3,3,1,0.2026,0,4,2147,1097493,434,0,0,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:25.389970,15,54,25,33.3,42.7,0.0,84.6,27.26,192,192,179,2,3,1,5,5,1,3,446,2.3229,192,1.0,192,3,3,1,0.1734,0,2268,3959,1351502,1827,20,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:26.144531,15,54,26,48.4,43.7,0.0,84.7,27.27,192,192,179,2,3,1,5,5,1,3,446,2.3229,192,1.0,192,3,3,1,0.2521,0,592,1750,1159379,1199,9,0,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:26.802416,15,54,26,33.3,44.5,0.0,84.6,27.28,192,192,179,1,3,1,5,5,1,3,446,2.3229,192,1.0,192,3,3,1,0.1734,0,1854,3645,1102804,1593,15,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:27.458457,15,54,27,54.8,44.5,0.0,84.6,27.29,192,192,179,1,3,1,5,5,1,3,446,2.3229,192,1.0,192,3,3,1,0.2854,0,470,1732,1149298,1438,10,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:28.118963,15,54,28,34.5,43.4,0.0,85.5,27.3,192,192,179,1,3,1,5,5,1,3,446,2.3229,192,1.0,192,3,3,1,0.1797,0,933,3318,1098924,1273,18,0,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:28.782406,15,54,28,36.7,43.2,0.0,84.6,27.31,192,192,179,1,3,1,5,5,1,3,446,2.3229,192,1.0,192,3,3,1,0.1911,0,1484,2899,1098014,1581,12,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:29.469537,15,54,29,67.7,43.2,0.0,84.6,27.32,193,192,180,2,3,1,6,5,1,3,446,2.3109,193,1.0,193,3,3,1,0.3508,0,1295,1646,1134472,1190,8,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:30.135716,15,54,30,34.4,43.0,0.0,85.5,27.33,193,193,180,3,3,1,6,5,1,3,447,2.3161,193,1.0,193,3,3,1,0.1782,0,2826,4234,937147,1921,23,2,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:30.834601,15,54,30,28.6,42.4,0.0,84.6,27.35,193,193,180,1,3,1,6,5,1,3,447,2.3161,193,1.0,193,3,3,1,0.1482,0,962,3014,1161542,1579,12,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:31.494094,15,54,31,39.3,42.2,0.0,84.6,27.36,193,193,180,1,3,1,6,5,1,3,447,2.3161,193,1.0,193,3,3,1,0.2036,0,393,2299,1069895,1215,11,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:32.158294,15,54,32,31.0,42.5,0.0,84.6,27.37,193,193,180,1,3,1,6,5,1,3,447,2.3161,193,1.0,193,3,3,1,0.1606,0,1055,2749,1100492,1628,18,0,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:32.824297,15,54,32,51.6,42.5,0.0,84.6,27.38,193,193,180,1,3,1,6,5,1,3,447,2.3161,193,1.0,193,3,3,1,0.2674,0,1319,3649,1057826,1588,14,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:33.484585,15,54,33,31.0,42.5,0.0,84.6,27.39,194,194,181,1,3,1,6,5,1,3,448,2.3093,194,1.0,194,3,3,1,0.1598,1,716,1722,1038980,1261,14,0,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:34.159056,15,54,34,25.9,44.8,0.0,84.6,27.4,194,194,181,1,3,1,6,5,1,3,448,2.3093,194,1.0,194,3,3,1,0.1335,1,748,3545,1063439,1662,21,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:34.854656,15,54,34,40.7,44.8,0.0,84.6,27.41,195,192,181,1,3,1,6,5,1,3,446,2.2872,195,1.0,195,3,3,1,0.2087,0,546,1667,1122710,1184,8,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:35.535477,15,54,35,32.1,41.6,0.0,84.6,27.42,194,194,181,2,3,1,6,5,1,3,448,2.3093,194,1.0,194,3,3,1,0.1655,0,861,3558,941733,1685,27,0,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:36.213639,15,54,36,66.7,41.8,0.0,85.5,27.44,194,193,181,1,3,1,6,5,1,3,447,2.3041,194,1.0,194,3,3,1,0.3438,0,772,2924,1041007,1639,18,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:36.876674,15,54,36,28.6,44.4,0.0,84.6,27.45,194,194,181,1,3,1,6,5,1,3,447,2.3041,194,1.0,194,3,3,1,0.1474,0,463,2338,1073363,1199,11,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:37.585293,15,54,37,51.6,44.6,0.0,84.6,27.46,194,194,181,2,3,1,6,5,1,3,448,2.3093,194,1.0,194,3,3,1,0.266,0,669,3037,1039018,1677,25,0,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:38.246523,15,54,38,41.4,44.6,0.0,84.6,27.47,193,193,180,2,3,1,6,5,1,3,447,2.3161,193,1.0,193,3,3,1,0.2145,9,725,3233,960853,1640,19,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
2026-05-27 15:54:38.926806,15,54,38,35.7,44.7,0.0,84.6,27.48,193,193,180,1,3,1,6,5,1,3,447,2.3161,193,1.0,193,3,3,1,0.185,3,598,2526,1057339,1182,6,1,level4_kernel_rootkit_like_behavior,ebpf,malicious
