timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,label
2026-05-22T21:56:57.713328,21,56,57,0.0,53.7,0.0,71.8,81.52,230,230,222,0,2,1,7,5,0,4,568,2.4696,0,0.0,125,19,20,2,0.0,benign
2026-05-22T21:57:00.274846,21,57,0,1.9,53.8,0.0,71.8,81.57,227,226,218,1,2,1,6,5,0,4,564,2.4846,0,0.0,114,19,20,2,1.9,benign
2026-05-22T21:57:02.943394,21,57,2,2.7,53.8,0.0,71.8,81.61,226,228,220,1,2,1,7,5,0,4,564,2.4956,0,0.0,114,19,20,2,2.7,benign
2026-05-22T21:57:05.489385,21,57,5,3.0,53.8,0.0,71.8,81.65,226,226,218,1,2,1,6,5,0,4,564,2.4956,0,0.0,114,20,21,2,3.0,benign
2026-05-22T21:57:08.092049,21,57,8,1.0,53.8,0.0,71.8,81.7,226,226,218,1,2,1,6,5,0,4,564,2.4956,0,0.0,114,19,20,2,1.0,benign
2026-05-22T21:57:10.671342,21,57,10,2.6,53.9,0.0,71.8,81.74,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,2.6,benign
2026-05-22T21:57:13.207554,21,57,13,1.9,51.0,0.0,71.8,81.78,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,1.9,benign
2026-05-22T21:57:15.772538,21,57,15,5.9,51.1,0.0,71.8,81.83,226,226,218,1,2,1,6,5,0,4,564,2.4956,0,0.0,114,19,20,2,5.9,benign
2026-05-22T21:57:18.327999,21,57,18,28.6,53.0,0.0,71.8,81.87,226,226,218,2,2,1,6,5,0,4,564,2.4956,0,0.0,114,19,20,2,28.6,benign
2026-05-22T21:57:21.176901,21,57,21,13.1,54.1,0.0,71.8,81.91,226,226,218,1,2,1,6,5,0,4,564,2.4956,0,0.0,114,19,20,2,13.1,benign
2026-05-22T21:57:23.732461,21,57,23,13.1,54.1,0.0,71.8,81.96,226,226,218,1,2,1,6,5,0,4,564,2.4956,0,0.0,114,19,20,2,13.1,benign
2026-05-22T21:57:26.315807,21,57,26,1.7,54.2,0.0,71.8,82.0,226,226,218,1,2,1,6,5,0,4,564,2.4956,0,0.0,114,19,20,2,1.7,benign
2026-05-22T21:57:28.861520,21,57,28,12.1,54.2,0.0,71.8,82.04,226,226,218,0,2,1,6,5,0,4,564,2.4956,0,0.0,114,19,20,2,12.1,benign
2026-05-22T21:57:31.445403,21,57,31,0.0,54.2,0.0,71.8,82.09,226,226,218,1,2,1,6,5,0,4,564,2.4956,0,0.0,114,19,20,2,0.0,benign
2026-05-22T21:57:33.988110,21,57,33,13.9,54.3,0.0,71.8,82.13,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,13.9,benign
2026-05-22T21:57:36.548483,21,57,36,3.2,51.5,0.0,71.8,82.17,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,3.2,benign
2026-05-22T21:57:39.417834,21,57,39,12.7,51.5,0.0,71.8,82.21,229,226,218,1,2,1,6,5,0,4,563,2.4585,0,0.0,114,19,20,2,12.7,benign
2026-05-22T21:57:41.995867,21,57,41,2.7,51.5,0.0,71.8,82.26,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,2.7,benign
2026-05-22T21:57:44.560178,21,57,44,0.0,51.5,0.0,71.8,82.31,229,226,218,1,2,1,6,5,0,4,563,2.4585,0,0.0,114,19,20,2,0.0,benign
2026-05-22T21:57:47.177822,21,57,47,0.8,51.5,0.0,71.8,82.35,226,229,221,0,2,1,7,5,0,4,566,2.5044,0,0.0,124,19,20,2,0.8,benign
2026-05-22T21:57:49.728554,21,57,49,3.6,51.5,0.0,71.8,82.39,229,226,218,1,2,1,6,5,0,4,563,2.4585,0,0.0,114,19,20,2,3.6,benign
2026-05-22T21:57:52.344863,21,57,52,2.8,51.5,0.0,71.8,82.43,226,229,221,1,2,1,7,5,0,4,566,2.5044,0,0.0,124,19,20,2,2.8,benign
2026-05-22T21:57:54.927809,21,57,54,1.0,51.6,0.0,71.8,82.48,229,226,218,1,2,1,6,5,0,4,563,2.4585,0,0.0,114,19,20,2,1.0,benign
2026-05-22T21:57:57.618014,21,57,57,0.8,51.6,0.0,71.8,82.52,226,229,221,1,2,1,7,5,0,4,566,2.5044,0,0.0,124,19,20,2,0.8,benign
2026-05-22T21:58:00.201220,21,58,0,4.6,51.6,0.0,71.8,82.57,229,226,218,1,2,1,6,5,0,4,563,2.4585,0,0.0,114,19,20,2,4.6,benign
2026-05-22T21:58:03.058706,21,58,3,1.8,51.6,0.0,71.8,82.61,226,229,221,1,2,1,7,5,0,4,563,2.4912,0,0.0,114,19,20,2,1.8,benign
2026-05-22T21:58:06.133303,21,58,6,3.8,51.5,0.0,71.8,82.66,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,3.8,benign
2026-05-22T21:58:08.742288,21,58,8,1.0,51.5,0.0,71.8,82.71,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,1.0,benign
2026-05-22T21:58:11.332802,21,58,11,0.0,51.5,0.0,71.8,82.75,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,0.0,benign
2026-05-22T21:58:13.923877,21,58,13,3.6,51.5,0.0,71.8,82.79,226,226,218,0,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,3.6,benign
2026-05-22T21:58:16.483484,21,58,16,8.9,51.5,0.0,71.8,82.84,226,226,218,0,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,8.9,benign
2026-05-22T21:58:19.032221,21,58,19,3.7,51.5,0.0,71.8,82.88,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,3.7,benign
2026-05-22T21:58:21.610601,21,58,21,3.8,51.5,0.0,71.8,82.92,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,19,20,2,3.8,benign
2026-05-22T21:58:24.182379,21,58,24,6.7,51.5,0.0,71.8,82.97,229,226,218,1,2,1,6,5,0,4,563,2.4585,0,0.0,114,19,20,2,6.7,benign
2026-05-22T21:58:26.656214,21,58,26,1.9,51.5,0.0,71.8,83.01,226,227,219,2,2,1,6,5,0,4,573,2.5354,0,0.0,114,19,20,2,1.9,benign
2026-05-22T21:58:29.191457,21,58,29,5.4,51.6,0.0,71.8,83.05,229,227,219,0,2,1,6,5,0,4,570,2.4891,0,0.0,114,19,20,2,5.4,benign
2026-05-22T21:58:31.729731,21,58,31,28.7,51.7,0.0,71.8,83.09,228,229,221,2,2,1,6,5,0,4,594,2.6053,0,0.0,121,19,20,2,28.7,benign
2026-05-22T21:58:34.212165,21,58,34,47.4,52.8,0.0,71.8,83.13,232,229,221,2,2,1,6,5,0,4,593,2.556,0,0.0,121,19,20,2,47.4,benign
2026-05-22T21:58:36.722506,21,58,36,0.9,52.8,0.0,71.8,83.18,229,229,221,0,2,1,6,5,0,4,593,2.5895,0,0.0,121,19,20,2,0.9,benign
2026-05-22T21:58:39.192143,21,58,39,6.3,52.8,0.0,71.8,83.22,232,229,221,0,2,1,6,5,0,4,593,2.556,0,0.0,121,19,20,2,6.3,benign
2026-05-22T21:58:41.668036,21,58,41,2.7,52.8,0.0,71.8,83.26,229,228,220,0,2,1,6,5,0,4,582,2.5415,0,0.0,116,19,20,2,2.7,benign
2026-05-22T21:58:44.141896,21,58,44,0.9,52.5,0.0,71.8,83.3,227,227,219,0,2,1,6,5,0,4,580,2.5551,0,0.0,116,19,20,2,0.9,benign
2026-05-22T21:58:46.692085,21,58,46,1.9,52.6,0.0,71.8,83.34,227,227,219,0,2,1,6,5,0,4,578,2.5463,0,0.0,116,19,20,2,1.9,benign
2026-05-22T21:58:49.158584,21,58,49,2.9,52.6,0.0,71.8,83.38,227,227,219,0,2,1,6,5,0,4,577,2.5419,0,0.0,116,19,20,2,2.9,benign
2026-05-22T21:58:51.647460,21,58,51,0.8,52.6,0.0,71.8,83.43,227,227,219,0,2,1,6,5,0,4,577,2.5419,0,0.0,116,19,20,2,0.8,benign
2026-05-22T21:58:54.128900,21,58,54,2.8,52.6,0.0,71.8,83.47,227,227,219,0,2,1,6,5,0,4,577,2.5419,0,0.0,116,19,20,2,2.8,benign
2026-05-22T21:58:56.598771,21,58,56,0.0,52.6,0.0,71.8,83.51,227,227,219,0,2,1,6,5,0,4,573,2.5242,0,0.0,116,19,20,2,0.0,benign
2026-05-22T21:58:59.077490,21,58,59,2.9,52.5,0.0,71.8,83.55,227,227,219,0,2,1,6,5,0,4,571,2.5154,0,0.0,116,19,20,2,2.9,benign
2026-05-22T21:59:01.536385,21,59,1,3.6,52.5,0.0,71.8,83.59,227,227,219,0,2,1,6,5,0,4,571,2.5154,0,0.0,116,19,20,2,3.6,benign
2026-05-22T21:59:04.141686,21,59,4,1.8,52.5,0.0,71.8,83.63,227,227,219,0,2,1,6,5,0,4,571,2.5154,0,0.0,116,19,20,2,1.8,benign
2026-05-22T21:59:06.656096,21,59,6,3.6,52.5,0.0,71.8,83.67,227,227,219,1,2,1,6,5,0,4,571,2.5154,0,0.0,116,19,20,2,3.6,benign
2026-05-22T21:59:09.149465,21,59,9,2.8,52.5,0.0,71.8,83.72,227,227,219,0,2,1,6,5,0,4,571,2.5154,0,0.0,116,19,20,2,2.8,benign
2026-05-22T21:59:11.743066,21,59,11,0.0,52.5,0.0,71.8,83.76,227,227,219,0,2,1,6,5,0,4,571,2.5154,0,0.0,116,19,20,2,0.0,benign
2026-05-22T21:59:14.344272,21,59,14,9.5,52.5,0.0,71.8,83.8,228,227,219,1,2,1,6,5,0,4,571,2.5044,0,0.0,116,19,20,2,9.5,benign
2026-05-22T21:59:16.865925,21,59,16,4.0,52.6,0.0,71.8,83.84,227,227,219,0,2,1,6,5,0,4,571,2.5154,0,0.0,116,19,20,2,4.0,benign
2026-05-22T21:59:19.364558,21,59,19,14.1,52.5,0.0,71.8,83.89,230,227,219,0,2,1,6,5,0,4,571,2.4826,0,0.0,116,19,20,2,14.1,benign
2026-05-22T21:59:21.994887,21,59,21,0.8,52.5,0.0,71.8,83.93,227,227,219,0,2,1,6,5,0,4,571,2.5154,0,0.0,116,19,20,2,0.8,benign
2026-05-22T21:59:24.587884,21,59,24,14.2,52.6,0.0,71.8,83.97,232,227,219,0,2,1,6,5,0,4,571,2.4612,0,0.0,116,18,19,2,14.2,benign
2026-05-22T21:59:27.086126,21,59,27,3.1,52.5,0.0,71.8,84.02,227,227,219,1,2,1,6,5,0,4,571,2.5154,0,0.0,116,18,19,2,3.1,benign
2026-05-22T21:59:29.574400,21,59,29,11.3,52.5,0.0,71.8,84.06,231,227,219,0,2,1,6,5,0,4,571,2.4719,0,0.0,116,18,19,2,11.3,benign
2026-05-22T21:59:32.113849,21,59,32,1.9,52.5,0.0,71.8,84.1,227,227,219,0,2,1,6,5,0,4,571,2.5154,0,0.0,116,18,19,2,1.9,benign
2026-05-22T21:59:34.651159,21,59,34,7.1,52.6,0.0,71.8,84.14,230,227,219,1,2,1,6,5,0,4,571,2.4826,0,0.0,116,18,19,2,7.1,benign
2026-05-22T21:59:37.193209,21,59,37,2.7,52.6,0.0,71.8,84.18,227,227,219,0,2,1,6,5,0,4,571,2.5154,0,0.0,116,18,19,2,2.7,benign
2026-05-22T21:59:39.668967,21,59,39,7.1,52.5,0.0,71.8,84.22,230,227,219,0,2,1,6,5,0,4,571,2.4826,0,0.0,116,18,19,2,7.1,benign
2026-05-22T21:59:42.794874,21,59,42,1.7,52.5,0.0,71.8,84.27,227,227,219,1,2,1,6,5,0,4,571,2.5154,0,0.0,116,18,19,2,1.7,benign
2026-05-22T22:23:58.791106,22,23,58,11.3,51.7,0.0,71.8,108.54,229,226,218,0,2,1,6,5,0,4,563,2.4585,0,0.0,115,18,19,2,11.3,benign
2026-05-22T22:24:01.366711,22,24,1,3.8,51.7,0.0,71.8,108.58,226,226,218,0,2,1,6,5,0,4,563,2.4912,0,0.0,114,18,19,2,3.8,benign
2026-05-22T22:24:03.973571,22,24,3,2.1,51.8,0.0,71.8,108.63,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,18,19,2,2.1,benign
2026-05-22T22:24:06.686300,22,24,6,1.9,51.8,0.0,71.8,108.67,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,18,19,2,1.9,benign
2026-05-22T22:24:09.252298,22,24,9,0.9,51.8,0.0,71.8,108.72,226,226,218,1,2,1,6,5,0,4,563,2.4912,0,0.0,114,18,19,2,0.9,benign
2026-05-22T22:24:11.813592,22,24,11,16.2,51.8,0.0,71.8,108.76,226,226,218,2,2,1,6,5,0,4,564,2.4956,0,0.0,114,23,24,2,16.2,benign
2026-05-22T22:24:14.582126,22,24,14,19.4,53.5,0.0,71.8,108.8,226,226,218,2,2,1,6,5,0,4,564,2.4956,0,0.0,114,24,25,2,19.4,benign
2026-05-22T22:24:17.476148,22,24,17,1.0,54.7,0.0,71.8,108.85,226,226,218,1,2,1,6,5,0,4,564,2.4956,0,0.0,114,24,25,2,1.0,benign
2026-05-22T22:24:20.007299,22,24,20,39.8,54.8,0.0,71.8,108.9,229,226,218,2,2,1,6,5,0,4,564,2.4629,0,0.0,114,24,25,2,39.8,benign
2026-05-22T22:24:22.485865,22,24,22,8.0,54.8,0.0,71.8,108.94,226,226,218,0,2,1,6,5,0,4,564,2.4956,0,0.0,114,24,25,2,8.0,benign
2026-05-22T22:24:24.949653,22,24,24,7.4,54.8,0.0,71.8,108.98,229,226,218,0,2,1,6,5,0,4,564,2.4629,0,0.0,114,25,26,2,7.4,benign
2026-05-22T22:24:27.581703,22,24,27,1.9,54.8,0.0,71.8,109.02,226,226,218,0,2,1,6,5,0,4,564,2.4956,0,0.0,114,24,25,2,1.9,benign
2026-05-22T22:24:30.213341,22,24,30,4.8,54.8,0.0,71.8,109.06,229,226,218,1,2,1,6,5,0,4,564,2.4629,0,0.0,114,24,25,2,4.8,benign
2026-05-22T22:24:32.779704,22,24,32,8.7,54.8,0.0,71.8,109.11,226,226,218,1,2,1,6,5,0,4,564,2.4956,0,0.0,114,24,25,2,8.7,benign
2026-05-22T22:24:35.284763,22,24,35,1.0,54.9,0.0,71.8,109.15,229,226,218,1,2,1,6,5,0,4,563,2.4585,0,0.0,114,24,25,2,1.0,benign
2026-05-22T22:24:37.767332,22,24,37,7.6,52.4,0.0,71.8,109.19,226,229,221,0,2,1,7,5,0,4,566,2.5044,0,0.0,124,24,25,2,7.6,benign
2026-05-22T22:24:40.517177,22,24,40,2.7,52.5,0.0,71.8,109.23,229,226,218,0,2,1,6,5,0,4,563,2.4585,0,0.0,114,22,23,2,2.7,benign
2026-05-22T22:24:43.073364,22,24,43,8.2,52.5,0.0,71.8,109.28,226,229,221,1,2,1,7,5,0,4,566,2.5044,0,0.0,124,22,23,2,8.2,benign
2026-05-22T22:24:45.546689,22,24,45,1.0,52.6,0.0,71.8,109.32,229,226,218,1,2,1,6,5,0,4,563,2.4585,0,0.0,114,22,23,2,1.0,benign
2026-05-22T22:24:48.053989,22,24,48,9.1,52.6,0.0,71.8,109.36,226,229,221,0,2,1,7,5,0,4,566,2.5044,0,0.0,124,22,23,2,9.1,benign
2026-05-22T22:24:50.526172,22,24,50,1.0,52.7,0.0,71.8,109.41,229,226,218,0,2,1,6,5,0,4,563,2.4585,0,0.0,114,22,23,2,1.0,benign
2026-05-22T22:24:53.050955,22,24,53,7.5,52.7,0.0,71.8,109.45,226,229,221,0,2,1,7,5,0,4,566,2.5044,0,0.0,124,22,23,2,7.5,benign
2026-05-22T22:24:55.662048,22,24,55,0.9,52.6,0.0,71.8,109.49,229,226,218,0,2,1,6,5,0,4,563,2.4585,0,0.0,114,22,23,2,0.9,benign
2026-05-22T22:24:58.139913,22,24,58,9.5,52.6,0.0,71.8,109.53,226,229,221,1,2,1,7,5,0,4,566,2.5044,0,0.0,124,22,23,2,9.5,benign
2026-05-22T22:25:00.678905,22,25,0,3.7,52.7,0.0,71.8,109.57,229,226,218,0,2,1,6,5,0,4,563,2.4585,0,0.0,114,22,23,2,3.7,benign
2026-05-22T22:25:03.203815,22,25,3,8.5,52.7,0.0,71.8,109.62,226,229,221,1,2,1,7,5,0,4,566,2.5044,0,0.0,124,22,23,2,8.5,benign
2026-05-22T22:25:05.656054,22,25,5,2.0,52.7,0.0,71.8,109.66,229,226,218,1,2,1,6,5,0,4,563,2.4585,0,0.0,114,22,23,2,2.0,benign
2026-05-22T22:25:08.148492,22,25,8,4.5,52.8,0.0,71.8,109.7,226,229,221,0,2,1,7,5,0,4,566,2.5044,0,0.0,124,22,23,2,4.5,benign
2026-05-22T22:25:10.748856,22,25,10,3.8,52.8,0.0,71.8,109.74,229,226,218,0,2,1,6,5,0,4,563,2.4585,0,0.0,114,22,23,2,3.8,benign
2026-05-22T22:25:13.290974,22,25,13,7.1,52.8,0.0,71.8,109.78,228,229,221,1,2,1,7,5,0,4,566,2.4825,0,0.0,124,22,23,2,7.1,benign
