timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,label
2026-05-23 23:33:41.869645,23,33,41,2.7,86.4,100.0,77.8,66.03,265,265,255,0,3,1,8,5,0,4,966,3.6453,265,1.0,265,29,29,2,0.0102,0,0,8,0,benign
2026-05-23 23:33:42.597654,23,33,42,0.0,86.5,100.0,77.9,66.04,266,266,255,2,3,1,9,5,1,4,969,3.6429,266,1.0,266,27,27,2,0.0,0,2495,2633,233,benign
2026-05-23 23:33:43.310483,23,33,43,15.8,86.4,100.0,77.9,66.05,266,266,255,2,3,1,9,5,1,4,967,3.6353,266,1.0,266,27,27,2,0.0594,0,1137,2022,170,benign
2026-05-23 23:33:44.039537,23,33,44,0.0,86.5,100.0,77.8,66.07,266,266,255,3,3,1,9,5,1,4,967,3.6353,266,1.0,266,27,27,2,0.0,0,4604,2023,150,benign
2026-05-23 23:33:44.730786,23,33,44,0.0,86.6,100.0,77.8,66.08,269,269,258,1,3,1,10,5,1,4,970,3.6059,269,1.0,269,27,27,2,0.0,0,705,3019,102,benign
2026-05-23 23:33:45.409173,23,33,45,0.0,86.8,100.0,77.9,66.09,266,266,255,3,3,1,9,5,1,4,968,3.6391,266,1.0,266,27,27,2,0.0,0,1966,2051,150,benign
2026-05-23 23:33:46.091477,23,33,46,20.6,87.3,100.0,77.8,66.1,266,266,255,2,3,1,9,5,1,4,969,3.6429,266,1.0,266,27,27,2,0.0774,0,534,1934,64,benign
2026-05-23 23:33:46.766315,23,33,46,0.0,87.3,100.0,77.8,66.11,266,266,255,1,3,1,9,5,1,4,968,3.6391,266,1.0,266,27,27,2,0.0,0,1710,1980,133,benign
2026-05-23 23:33:47.439234,23,33,47,0.0,87.0,100.0,77.8,66.12,266,266,255,2,3,1,9,5,1,4,968,3.6391,266,1.0,266,27,27,2,0.0,0,2220,2103,236,benign
2026-05-23 23:33:48.152564,23,33,48,2.1,87.0,100.0,77.8,66.13,266,266,255,1,3,1,9,5,1,4,968,3.6391,266,1.0,266,27,27,2,0.0079,0,493,1939,68,benign
