timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,label
2026-05-23 10:47:58.328263,10,47,58,13.8,44.3,0.0,94.0,5.96,227,228,0,0,1,1,1,0,8,3016,13.2863,0,0.0,1428,132,136,1,13.8,benign
2026-05-23 10:48:09.896646,10,48,9,20.1,44.5,0.0,94.0,6.12,228,228,3,0,1,1,1,0,8,3008,13.193,0,0.0,1427,154,135,1,20.1,benign
2026-05-23 10:48:20.539818,10,48,20,52.8,45.2,0.0,94.0,6.31,241,239,7,0,1,1,1,0,8,3277,13.5975,0,0.0,1467,151,153,1,52.8,benign
2026-05-23 10:48:32.454578,10,48,32,35.0,45.3,0.0,94.0,6.49,238,236,5,0,1,1,1,0,8,3231,13.5756,0,0.0,1440,147,149,1,35.0,benign
2026-05-23 10:48:42.807283,10,48,42,34.8,44.2,0.0,94.0,6.69,236,235,6,0,1,1,1,0,8,3249,13.7669,0,0.0,1443,160,155,1,34.8,benign
2026-05-23 10:48:52.059298,10,48,52,42.9,43.6,0.0,94.0,6.86,240,239,7,0,1,1,1,0,8,3142,13.0917,0,0.0,1446,158,158,1,42.9,benign
2026-05-23 10:49:01.175822,10,49,1,29.8,42.6,0.0,94.0,7.02,233,235,4,0,1,1,1,0,8,2997,12.8627,0,0.0,1375,156,158,1,29.8,benign
2026-05-23 10:49:10.120568,10,49,10,35.0,43.1,0.0,94.0,7.17,231,231,5,0,1,1,1,0,8,2957,12.8009,0,0.0,1365,160,159,1,35.0,benign
2026-05-23 10:49:19.414986,10,49,19,29.6,44.4,0.0,94.0,7.32,231,231,4,1,1,1,1,0,8,2935,12.7056,0,0.0,1356,155,160,1,29.6,benign
2026-05-23 10:49:28.741523,10,49,28,88.3,42.0,0.0,94.0,7.47,227,227,4,0,1,1,1,0,8,2957,13.0264,0,0.0,1356,153,155,1,88.3,benign
2026-05-23 10:49:37.838606,10,49,37,33.5,42.5,0.0,94.0,7.63,227,227,3,0,1,1,1,0,8,2953,13.0088,0,0.0,1356,153,152,1,33.5,benign
2026-05-23 10:49:46.061907,10,49,46,31.9,41.9,0.0,94.0,7.78,225,225,3,0,1,1,1,0,8,2956,13.1378,0,0.0,1356,153,152,1,31.9,benign
2026-05-23 10:49:54.184606,10,49,54,6.5,41.9,0.0,94.0,7.92,226,226,2,0,1,1,1,0,8,2956,13.0796,0,0.0,1356,153,153,1,6.5,benign
2026-05-23 10:50:02.273129,10,50,2,4.6,41.9,0.0,94.0,8.05,226,226,2,0,1,1,1,0,8,2893,12.8009,0,0.0,1356,145,150,1,4.6,benign
2026-05-23 10:50:10.367107,10,50,10,4.5,41.8,0.0,94.0,8.19,226,226,2,0,1,1,1,0,8,2911,12.8805,0,0.0,1356,140,143,1,4.5,benign
2026-05-23 10:50:18.369840,10,50,18,1.9,41.8,0.0,94.0,8.32,224,224,2,0,1,1,1,0,8,2896,12.9286,0,0.0,1356,137,139,1,1.9,benign
2026-05-23 10:50:26.315725,10,50,26,4.5,41.7,0.0,94.0,8.46,224,223,2,0,1,1,1,0,8,2858,12.7589,0,0.0,1356,136,137,1,4.5,benign
2026-05-23 10:50:34.304399,10,50,34,2.5,41.6,0.0,94.0,8.59,222,222,2,0,1,1,1,0,8,2860,12.8829,0,0.0,1356,131,133,1,2.5,benign
2026-05-23 10:50:42.399522,10,50,42,6.7,41.6,0.0,94.0,8.72,221,218,2,0,1,1,1,0,8,2831,12.81,0,0.0,1356,126,134,1,6.7,benign
2026-05-23 10:50:50.329551,10,50,50,2.6,41.5,0.0,94.0,8.86,218,216,2,0,1,1,1,0,8,2805,12.867,0,0.0,1356,124,124,1,2.6,benign
2026-05-23 10:50:58.240820,10,50,58,12.8,41.1,0.0,94.0,8.99,215,215,2,0,1,1,1,0,8,2782,12.9395,0,0.0,1356,122,124,1,12.8,benign
2026-05-23 10:51:06.024486,10,51,6,6.6,41.1,0.0,94.0,9.12,215,214,2,0,1,1,1,0,8,2714,12.6233,0,0.0,1356,119,121,1,6.6,benign
2026-05-23 10:51:13.797291,10,51,13,3.1,41.1,0.0,94.0,9.25,215,214,2,0,1,1,1,0,8,2675,12.4419,0,0.0,1356,119,120,1,3.1,benign
2026-05-23 10:51:21.523292,10,51,21,8.6,41.0,0.0,94.0,9.38,215,214,2,0,1,1,1,0,8,2668,12.4093,0,0.0,1356,120,119,1,8.6,benign
2026-05-23 10:51:29.282951,10,51,29,6.5,41.0,0.0,94.0,9.51,215,213,2,0,1,1,1,0,8,2631,12.2372,0,0.0,1356,117,119,1,6.5,benign
2026-05-23 10:51:37.060059,10,51,37,2.0,40.9,0.0,94.0,9.64,213,212,2,0,1,1,1,0,8,2626,12.3286,0,0.0,1356,118,117,1,2.0,benign
2026-05-23 10:51:44.977444,10,51,44,10.0,40.8,0.0,94.0,9.77,213,212,2,0,1,1,1,0,8,2614,12.2723,0,0.0,1356,116,116,1,10.0,benign
