timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,kernel_openat_delta,kernel_execve_delta,kernel_connect_delta,scenario,collector_type,label
2026-05-26 21:20:02.123865,21,20,2,4.2,30.6,0.0,50.1,50.55,230,230,224,0,2,1,2,5,0,4,749,3.2565,230,1.0,230,13,13,2,0.0183,0,2,148,101,7,0,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:20:02.768109,21,20,2,10.3,30.6,0.0,50.1,50.56,231,231,224,1,2,1,3,5,1,4,750,3.2468,231,1.0,231,13,13,2,0.0446,0,1551,2394,267,1595,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:20:03.416416,21,20,3,12.5,30.6,0.0,50.1,50.57,231,231,224,1,2,1,3,5,1,4,750,3.2468,231,1.0,231,13,13,2,0.0541,0,1190,1896,217,1366,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:20:04.057567,21,20,4,4.7,30.5,0.0,50.1,50.58,231,231,224,1,2,1,3,5,1,4,750,3.2468,231,1.0,231,13,13,2,0.0203,0,1428,1935,263,1368,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:20:04.699586,21,20,4,7.5,30.5,0.0,50.1,50.59,231,231,224,1,2,1,3,5,1,4,750,3.2468,231,1.0,231,13,13,2,0.0325,0,1408,1902,230,1366,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:30.388226,21,21,30,0.0,30.8,0.0,50.1,52.02,233,233,227,0,2,1,2,5,0,4,750,3.2189,233,1.0,233,12,12,2,0.0,0,2,27,5,6,0,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:31.028138,21,21,31,0.0,30.9,0.0,50.1,52.03,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,1160,2938,704,1990,3,2,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:31.668760,21,21,31,0.0,30.9,0.0,50.1,52.04,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,546,1902,157,1398,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:32.305527,21,21,32,0.0,30.9,0.0,50.1,52.05,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,499,1848,109,1390,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:32.963231,21,21,32,0.0,30.9,0.0,50.1,52.07,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,469,1864,111,1397,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:33.615884,21,21,33,0.0,30.9,0.0,50.1,52.08,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,516,1877,125,1396,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:34.283271,21,21,34,0.0,30.9,0.0,50.1,52.09,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,486,1859,106,1400,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:34.939247,21,21,34,0.0,30.9,0.0,50.1,52.1,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,556,1880,126,1397,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:35.611649,21,21,35,2.1,30.9,0.0,50.1,52.11,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0089,0,472,1852,112,1390,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:36.259667,21,21,36,0.0,30.9,0.0,50.1,52.12,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,472,1861,108,1397,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:36.900582,21,21,36,0.0,30.9,0.0,50.1,52.13,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,639,1968,233,1408,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:37.578200,21,21,37,2.0,30.9,0.0,50.1,52.14,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0085,0,966,2224,575,1396,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:38.215272,21,21,38,2.6,30.9,0.0,50.1,52.15,235,235,228,1,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0111,0,713,1997,290,1398,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:38.853326,21,21,38,7.5,30.9,0.0,50.1,52.16,235,235,228,1,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0319,0,1375,1976,296,1392,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:39.495207,21,21,39,5.1,30.9,0.0,50.1,52.17,235,235,228,2,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0217,0,1185,2097,403,1451,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:40.135437,21,21,40,0.0,30.9,0.0,50.1,52.19,235,235,228,0,2,1,3,5,1,4,758,3.2255,235,1.0,235,12,12,2,0.0,0,926,2229,595,1394,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:40.779878,21,21,40,0.0,30.8,0.0,50.1,52.2,234,234,227,1,2,1,3,5,1,4,756,3.2308,234,1.0,234,12,12,2,0.0,0,1098,2243,591,1418,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:41.424975,21,21,41,7.3,30.8,0.0,50.1,52.21,235,235,228,1,2,1,3,5,1,4,760,3.234,235,1.0,235,12,12,2,0.0311,0,1216,2668,949,1742,3,2,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:42.107057,21,21,42,10.3,30.9,0.0,50.1,52.22,235,235,228,1,2,1,3,5,1,4,760,3.234,235,1.0,235,12,12,2,0.0438,0,648,1977,241,1418,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:42.740679,21,21,42,15.0,31.0,0.0,50.1,52.23,234,234,228,2,2,1,2,5,0,4,759,3.2436,234,1.0,234,12,12,2,0.0641,0,4145,2366,680,1393,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:43.391173,21,21,43,2.3,31.0,0.0,50.1,52.24,235,235,228,1,2,1,3,5,1,4,760,3.234,235,1.0,235,12,12,2,0.0098,0,4306,2279,575,1391,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:44.042192,21,21,44,25.6,31.0,0.0,50.1,52.25,235,235,228,2,2,1,3,5,1,4,764,3.2511,235,1.0,235,12,12,2,0.1089,0,2103,2058,314,1412,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:44.684293,21,21,44,2.4,30.5,0.0,50.1,52.26,235,235,228,1,2,1,3,5,1,4,744,3.166,235,1.0,235,12,12,2,0.0102,0,2871,2406,677,1391,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:45.332962,21,21,45,9.3,29.5,0.0,50.1,52.27,233,233,226,2,2,1,3,5,1,4,703,3.0172,233,1.0,233,11,11,2,0.0399,0,2597,2465,725,1403,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:45.968857,21,21,45,10.3,23.5,0.0,50.1,52.28,229,228,221,1,1,1,3,5,1,4,513,2.2402,229,1.0,229,12,12,2,0.045,0,4575,4126,2395,2051,3,7,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:46.622514,21,21,46,6.7,23.0,0.0,50.1,52.29,228,228,221,1,1,1,3,5,1,4,512,2.2456,228,1.0,228,12,12,2,0.0294,0,1238,2273,635,1379,2,2,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:47.267228,21,21,47,67.5,23.2,0.0,50.1,52.3,230,230,223,1,1,1,3,5,2,4,524,2.2783,230,1.0,230,12,12,2,0.2935,0,2260,2629,424,5573,43,9,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:47.921300,21,21,47,61.5,25.5,0.0,50.1,52.31,237,235,228,2,1,1,3,5,1,4,603,2.5443,237,1.0,237,13,13,2,0.2595,0,8913,4939,1218,7126,11,23,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:48.609294,21,21,48,60.5,27.3,0.0,50.1,52.33,232,232,225,4,1,1,3,5,1,4,650,2.8017,232,1.0,232,30,30,2,0.2608,0,11892,7262,3613,5182,145,39,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:49.255551,21,21,49,36.8,29.1,0.0,50.1,52.34,234,234,227,2,2,1,3,5,1,4,700,2.9915,234,1.0,234,26,26,2,0.1573,0,9020,7264,4974,5638,5,70,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:49.894403,21,21,49,29.7,29.9,0.0,50.1,52.35,234,234,227,2,2,1,3,5,1,4,700,2.9915,234,1.0,234,23,23,2,0.1269,0,6653,3696,3636,1447,2,8,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:50.551250,21,21,50,23.7,30.4,0.0,50.1,52.36,234,234,227,2,2,1,3,5,1,4,700,2.9915,234,1.0,234,23,23,2,0.1013,0,8583,5497,4940,1423,2,4,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:51.197808,21,21,51,38.5,30.7,0.0,50.1,52.37,234,234,227,2,2,1,3,5,1,4,699,2.9872,234,1.0,234,25,25,2,0.1645,0,10770,6664,6142,1537,2,30,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:51.843018,21,21,51,2.6,30.8,0.0,50.1,52.38,233,233,226,2,2,1,3,5,1,4,695,2.9828,233,1.0,233,23,23,2,0.0112,0,10239,5834,4908,1557,2,6,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:52.488872,21,21,52,2.3,30.8,0.0,50.1,52.39,234,234,227,0,2,1,3,5,1,4,699,2.9872,234,1.0,234,23,23,2,0.0098,0,2419,2611,863,1750,3,2,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:53.140497,21,21,53,2.5,30.8,0.0,50.1,52.4,234,234,227,0,2,1,3,5,1,4,699,2.9872,234,1.0,234,23,23,2,0.0107,0,1645,2031,325,1417,2,0,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:53.791674,21,21,53,19.4,30.8,0.0,50.1,52.41,234,234,227,3,2,1,3,5,1,4,708,3.0256,234,1.0,234,27,27,2,0.0829,0,5887,3744,2130,1454,2,39,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:54.458181,21,21,54,43.2,31.9,0.0,50.1,52.42,236,236,229,3,2,1,3,5,1,4,716,3.0339,236,1.0,236,31,31,2,0.1831,0,5692,3307,1525,1486,2,19,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:55.112080,21,21,55,30.0,33.3,0.0,50.1,52.43,235,235,228,1,2,1,3,5,1,4,727,3.0936,235,1.0,235,33,33,2,0.1277,0,3950,3148,716,2778,3,7,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:55.775287,21,21,55,72.2,34.4,0.0,50.1,52.45,236,236,229,3,3,1,3,5,1,4,747,3.1653,236,1.0,236,37,37,2,0.3059,0,8422,3518,1796,2627,3,46,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:56.443098,21,21,56,28.9,35.0,0.0,50.1,52.46,237,237,230,3,3,1,3,5,1,4,764,3.2236,237,1.0,237,42,42,2,0.1219,0,12870,5331,3436,2785,3,70,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:57.119741,21,21,57,91.4,37.0,0.0,50.1,52.47,239,239,232,3,3,1,3,5,1,4,809,3.3849,239,1.0,239,47,47,2,0.3824,0,7608,5935,2827,4475,4,36,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:57.761145,21,21,57,5.1,37.5,0.0,50.1,52.48,239,239,232,3,3,1,3,5,1,4,809,3.3849,239,1.0,239,50,50,2,0.0213,0,10266,6579,6959,1935,2,3,level3_benign_normal_behavior,ebpf,benign
2026-05-26 21:21:58.398907,21,21,58,0.0,37.5,0.0,50.1,52.49,239,239,232,2,3,1,3,5,1,4,808,3.3808,239,1.0,239,47,47,2,0.0,0,2740,2601,852,1451,2,3,level3_benign_normal_behavior,ebpf,benign
