timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,kernel_openat_delta,kernel_execve_delta,kernel_connect_delta,scenario,collector_type,label
2026-05-31T01:55:23.431857,1,55,23,0.0,47.2,0.0,88.2,21.46,243,243,231,0,2,3,10,5,0,4,616,2.535,243,1.0,243,23,23,2,0.0,0,1,95,50,8,0,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:24.179194,1,55,24,39.0,47.3,0.0,88.2,21.47,246,246,233,2,2,4,12,5,1,4,619,2.5163,246,1.0,246,23,23,2,0.1585,0,699,2351,308,1604,2,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:24.849678,1,55,24,35.7,48.1,0.0,88.2,21.48,246,246,233,5,2,4,12,5,1,4,621,2.5244,246,1.0,246,23,23,2,0.1451,0,1783,4396,675,3900,17,10,demo_vm_idle,ebpf,benign
2026-05-31T01:55:25.896032,1,55,25,62.2,48.5,0.0,88.2,21.49,246,245,233,4,2,4,12,5,1,4,629,2.5569,246,1.0,246,25,25,2,0.2528,0,521,2082,237,1689,2,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:26.585962,1,55,26,29.3,48.7,0.0,88.2,21.51,249,249,236,3,2,4,13,5,1,4,637,2.5582,249,1.0,249,26,26,2,0.1177,0,8543,5175,519,3511,25,3,demo_vm_idle,ebpf,benign
2026-05-31T01:55:27.266683,1,55,27,14.8,48.7,0.0,88.2,21.52,246,246,233,3,2,4,12,5,1,4,634,2.5772,246,1.0,246,28,28,2,0.0602,0,6269,3359,641,2060,16,2,demo_vm_idle,ebpf,benign
2026-05-31T01:55:27.950924,1,55,27,51.4,48.7,0.0,88.2,21.53,246,245,233,4,2,4,11,5,0,4,625,2.5407,246,1.0,246,26,26,2,0.2089,0,7534,2251,585,1696,6,4,demo_vm_idle,ebpf,benign
2026-05-31T01:55:28.631158,1,55,28,17.2,49.0,0.0,88.2,21.54,246,246,232,5,2,4,12,5,1,4,633,2.5732,246,1.0,246,28,28,2,0.0699,0,6307,5540,1807,3294,9,3,demo_vm_idle,ebpf,benign
2026-05-31T01:55:29.353337,1,55,29,45.2,49.0,0.0,88.2,21.55,246,246,232,3,2,4,12,5,1,4,629,2.5569,246,1.0,246,29,29,2,0.1837,0,8299,2088,443,1405,2,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:30.195704,1,55,30,42.4,49.0,0.0,88.2,21.57,246,246,232,3,2,4,12,5,1,4,621,2.5244,246,1.0,246,28,28,2,0.1724,0,10181,2771,548,1750,2,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:31.050837,1,55,31,56.8,48.8,0.0,88.2,21.58,244,244,231,3,2,4,11,5,0,4,616,2.5246,244,1.0,244,29,29,2,0.2328,1,9679,3174,706,2082,7,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:31.730628,1,55,31,24.1,48.8,0.0,88.2,21.59,248,248,234,3,2,4,13,5,1,4,625,2.5202,248,1.0,248,31,31,2,0.0972,11,9987,3824,602,2577,19,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:32.417277,1,55,32,39.4,48.9,0.0,88.2,21.61,245,245,231,5,2,4,12,5,1,4,622,2.5388,245,1.0,245,32,32,2,0.1608,0,4363,2793,482,1798,12,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:33.112317,1,55,33,47.2,48.9,0.0,88.2,21.62,245,245,231,4,2,4,12,5,1,4,622,2.5388,245,1.0,245,32,32,2,0.1927,0,7788,2049,384,1408,2,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:33.792208,1,55,33,39.5,48.8,0.0,88.2,21.63,245,245,231,4,2,4,12,5,1,4,614,2.5061,245,1.0,245,33,33,2,0.1612,0,7600,3931,1558,2097,5,4,demo_vm_idle,ebpf,benign
2026-05-31T01:55:34.525787,1,55,34,37.9,48.8,0.0,88.2,21.64,245,245,231,3,2,4,12,5,1,4,622,2.5388,245,1.0,245,33,33,2,0.1547,0,6358,3235,514,2319,6,3,demo_vm_idle,ebpf,benign
2026-05-31T01:55:35.224656,1,55,35,28.6,48.8,0.0,88.2,21.65,245,245,231,4,2,4,12,5,1,4,612,2.498,245,1.0,245,32,32,2,0.1167,0,6379,2650,420,1741,2,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:35.921589,1,55,35,50.0,48.8,0.0,88.2,21.66,245,245,231,4,2,4,12,5,1,4,611,2.4939,245,1.0,245,33,33,2,0.2041,0,9154,2681,400,2030,7,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:36.618481,1,55,36,54.5,48.9,0.0,88.2,21.68,249,249,235,3,2,4,13,5,1,4,622,2.498,249,1.0,249,35,35,2,0.2189,0,4758,3663,449,2563,19,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:37.320483,1,55,37,42.9,48.9,0.0,88.2,21.69,245,245,231,3,2,4,12,5,1,4,618,2.5224,245,1.0,245,36,36,2,0.1751,0,8499,3397,629,2752,16,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:38.020695,1,55,38,29.7,48.9,0.0,88.2,21.7,245,245,231,3,2,4,12,5,1,4,618,2.5224,245,1.0,245,36,36,2,0.1212,0,6776,2136,476,1410,3,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:38.712592,1,55,38,43.2,48.9,0.0,88.2,21.71,245,245,231,3,2,4,12,5,1,4,618,2.5224,245,1.0,245,37,37,2,0.1763,0,7835,2741,503,1731,2,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:39.566360,1,55,39,62.5,48.9,0.0,88.2,21.72,245,245,231,4,2,4,12,5,1,4,618,2.5224,245,1.0,245,38,38,2,0.2551,0,6244,2677,426,1951,4,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:40.410961,1,55,40,42.4,48.9,0.0,88.2,21.74,245,245,231,3,2,4,12,5,1,4,618,2.5224,245,1.0,245,39,39,2,0.1731,0,13818,4526,1660,2450,5,7,demo_vm_idle,ebpf,benign
2026-05-31T01:55:41.262506,1,55,41,37.1,48.9,0.0,88.2,21.75,251,251,237,3,2,4,14,5,1,4,624,2.4861,251,1.0,251,42,42,2,0.1478,0,9933,5101,596,3721,34,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:42.086165,1,55,42,20.6,48.9,0.0,88.2,21.76,249,246,231,3,2,5,12,5,1,4,624,2.506,249,1.0,249,42,42,2,0.0827,0,8078,3075,661,1885,5,2,demo_vm_idle,ebpf,benign
2026-05-31T01:55:42.814799,1,55,42,26.8,48.9,0.0,88.2,21.78,249,249,234,3,2,5,13,5,1,4,627,2.5181,249,1.0,249,43,43,2,0.1076,0,7213,3793,533,2613,22,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:43.515658,1,55,43,29.7,48.9,0.0,88.2,21.79,246,246,231,2,2,5,12,5,1,4,624,2.5366,246,1.0,246,43,43,2,0.1207,0,7507,2085,383,1440,5,1,demo_vm_idle,ebpf,benign
2026-05-31T01:55:44.281175,1,55,44,16.2,48.9,0.0,88.2,21.8,246,246,231,3,2,5,12,5,1,4,616,2.5041,246,1.0,246,45,45,2,0.0659,0,5188,2702,471,1733,3,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:44.971985,1,55,44,44.7,48.9,0.0,88.2,21.81,245,245,231,3,2,5,11,5,0,4,623,2.5429,245,1.0,245,45,45,2,0.1824,0,6070,2014,366,1404,2,2,demo_vm_idle,ebpf,benign
2026-05-31T01:55:45.665134,1,55,45,31.2,48.9,0.0,88.2,21.83,245,245,230,5,2,5,12,5,1,4,619,2.5265,245,1.0,245,46,46,2,0.1273,0,12510,5479,1644,3393,8,7,demo_vm_idle,ebpf,benign
2026-05-31T01:55:46.347171,1,55,46,20.0,48.9,0.0,88.2,21.84,251,251,236,3,2,5,14,5,1,4,623,2.4821,251,1.0,251,47,47,2,0.0797,0,7676,5039,482,3729,35,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:47.040374,1,55,47,44.4,48.9,0.0,88.2,21.85,248,247,232,3,2,5,13,5,1,4,619,2.496,248,1.0,248,48,48,2,0.179,0,6618,2180,460,1458,5,22,demo_vm_idle,ebpf,benign
2026-05-31T01:55:47.719974,1,55,47,31.2,48.9,0.0,88.2,21.86,245,245,230,5,2,5,12,5,1,4,609,2.4857,245,1.0,245,48,48,2,0.1273,0,6199,2920,634,1787,13,4,demo_vm_idle,ebpf,benign
2026-05-31T01:55:48.398548,1,55,48,55.9,48.9,0.0,88.2,21.87,245,245,230,3,2,5,12,5,1,4,617,2.5184,245,1.0,245,50,50,2,0.2282,0,8346,2077,421,1400,2,3,demo_vm_idle,ebpf,benign
2026-05-31T01:55:49.078226,1,55,49,22.6,48.9,0.0,88.2,21.88,245,245,230,3,2,5,12,5,1,4,617,2.5184,245,1.0,245,51,51,2,0.0922,0,5779,2701,464,1741,2,2,demo_vm_idle,ebpf,benign
2026-05-31T01:55:49.778821,1,55,49,35.3,48.9,0.0,88.2,21.89,245,245,230,2,2,5,12,5,1,4,617,2.5184,245,1.0,245,51,51,2,0.1441,0,6847,2022,385,1385,2,0,demo_vm_idle,ebpf,benign
2026-05-31T01:55:50.458093,1,55,50,50.0,48.9,0.0,88.2,21.91,245,245,230,3,2,5,12,5,1,4,610,2.4898,245,1.0,245,53,53,2,0.2041,0,4180,2676,440,1739,2,2,demo_vm_idle,ebpf,benign
