timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,kernel_openat_delta,kernel_execve_delta,kernel_connect_delta,scenario,collector_type,label
2026-05-31T01:55:26.585962,1,55,26,29.3,48.7,0.0,88.2,21.51,249,249,236,3,2,4,13,5,1,4,637,2.5582,249,1.0,249,26,26,2,0.1177,0,8543,5175,519,3511,25,3,proxy_device_scan,ebpf,malicious
2026-05-31T01:55:28.631158,1,55,28,17.2,49.0,0.0,88.2,21.54,246,246,232,5,2,4,12,5,1,4,633,2.5732,246,1.0,246,28,28,2,0.0699,0,6307,5540,1807,3294,9,3,proxy_device_scan,ebpf,malicious
2026-05-31T01:55:41.262506,1,55,41,37.1,48.9,0.0,88.2,21.75,251,251,237,3,2,4,14,5,1,4,624,2.4861,251,1.0,251,42,42,2,0.1478,0,9933,5101,596,3721,34,1,proxy_device_scan,ebpf,malicious
2026-05-31T01:55:45.665134,1,55,45,31.2,48.9,0.0,88.2,21.83,245,245,230,5,2,5,12,5,1,4,619,2.5265,245,1.0,245,46,46,2,0.1273,0,12510,5479,1644,3393,8,7,proxy_device_scan,ebpf,malicious
2026-05-31T01:55:46.347171,1,55,46,20.0,48.9,0.0,88.2,21.84,251,251,236,3,2,5,14,5,1,4,623,2.4821,251,1.0,251,47,47,2,0.0797,0,7676,5039,482,3729,35,0,proxy_device_scan,ebpf,malicious
2026-05-31T01:55:51.151438,1,55,51,37.5,48.9,0.0,88.2,21.92,251,251,236,4,2,5,14,5,1,4,615,2.4502,251,1.0,251,52,52,2,0.1494,0,13258,6280,1530,4114,40,4,proxy_device_scan,ebpf,malicious
2026-05-31T01:56:06.487643,1,56,6,33.3,49.0,0.0,88.2,22.17,251,251,236,3,2,5,14,5,1,4,615,2.4502,251,1.0,251,69,69,2,0.1327,0,7039,4818,433,3643,29,0,proxy_device_scan,ebpf,malicious
2026-05-31T01:56:26.009036,1,56,26,44.4,48.9,0.0,88.2,22.5,247,245,230,2,2,5,12,5,1,4,616,2.4939,247,1.0,247,85,85,2,0.1798,0,6187,4545,869,3011,5,3,proxy_device_scan,ebpf,malicious
2026-05-31T01:56:31.730224,1,56,31,36.8,48.9,0.0,88.2,22.59,248,248,233,4,2,5,13,5,1,4,619,2.496,248,1.0,248,85,85,2,0.1484,0,10932,5853,1629,3909,46,11,proxy_device_scan,ebpf,malicious
2026-05-31T01:56:42.860908,1,56,42,44.1,48.9,0.0,88.2,22.78,247,247,233,5,2,4,13,5,1,4,606,2.4534,247,1.0,247,84,84,2,0.1785,0,12806,5392,1550,3532,26,7,proxy_device_scan,ebpf,malicious
2026-05-31T01:56:47.989033,1,56,47,52.6,49.0,0.0,88.2,22.87,249,248,233,4,2,5,13,5,1,4,621,2.494,249,1.0,249,81,81,2,0.2112,0,10400,5519,1301,3431,39,5,proxy_device_scan,ebpf,malicious
2026-05-31T01:56:48.701555,1,56,48,25.6,49.0,0.0,88.2,22.88,248,248,233,2,2,5,13,5,1,4,613,2.4718,248,1.0,248,80,80,2,0.1032,0,7417,4852,1035,2945,11,2,proxy_device_scan,ebpf,malicious
2026-05-31T01:56:52.151031,1,56,52,48.5,49.0,0.0,88.2,22.93,247,247,233,4,2,4,13,5,1,4,614,2.4858,247,1.0,247,81,81,2,0.1964,0,8024,5365,487,3631,34,1,proxy_device_scan,ebpf,malicious
2026-05-31T01:56:54.215353,1,56,54,50.0,49.0,0.0,88.2,22.97,244,244,230,3,2,4,12,5,1,4,611,2.5041,244,1.0,244,80,80,2,0.2049,0,10614,5042,1555,3025,8,7,proxy_device_scan,ebpf,malicious
2026-05-31T01:57:02.813851,1,57,2,52.9,49.1,0.0,88.2,23.11,248,248,233,4,2,5,13,5,1,4,623,2.5121,248,1.0,248,81,81,2,0.2133,0,7549,5109,591,3330,36,1,proxy_device_scan,ebpf,malicious
2026-05-31T01:57:05.615931,1,57,5,30.0,49.1,0.0,88.2,23.16,247,247,233,3,2,4,13,5,1,4,616,2.4939,247,1.0,247,80,80,2,0.1215,0,10009,5592,1476,3797,17,6,proxy_device_scan,ebpf,malicious
2026-05-31T01:57:06.304185,1,57,6,30.8,49.1,0.0,88.2,23.17,247,247,233,4,2,4,13,5,1,4,618,2.502,247,1.0,247,78,78,2,0.1247,0,4836,5161,686,3345,40,0,proxy_device_scan,ebpf,malicious
2026-05-31T01:57:07.710000,1,57,7,37.1,49.1,0.0,88.2,23.19,247,247,233,4,2,4,13,5,1,4,618,2.502,247,1.0,247,79,79,2,0.1502,0,6947,5156,595,3347,40,1,proxy_device_scan,ebpf,malicious
2026-05-31T01:57:11.226247,1,57,11,53.1,49.1,0.0,88.2,23.25,247,247,233,5,2,4,13,5,1,4,618,2.502,247,1.0,247,79,79,2,0.215,0,9802,5440,1579,3519,26,7,proxy_device_scan,ebpf,malicious
2026-05-31T01:57:16.827728,1,57,16,32.3,49.1,0.0,88.2,23.34,247,247,233,4,2,4,13,5,1,4,607,2.4575,247,1.0,247,77,77,2,0.1308,0,12229,5490,1609,3548,26,7,proxy_device_scan,ebpf,malicious
2026-05-31T01:57:28.457747,1,57,28,25.0,49.2,0.0,88.2,23.54,244,244,230,3,2,4,12,5,1,4,603,2.4713,244,1.0,244,78,78,2,0.1025,0,12636,5148,1649,3034,8,6,proxy_device_scan,ebpf,malicious
