timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,kernel_openat_delta,kernel_execve_delta,kernel_connect_delta,scenario,collector_type,label
2026-05-24 12:32:11.358438,12,32,11,3.0,40.8,0.0,84.4,4.2,200,200,192,0,3,2,2,5,0,3,479,2.395,200,1.0,200,3,3,1,0.015,0,4,143,22,76,6,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:12.236195,12,32,12,0.0,40.9,0.0,84.4,4.22,202,201,192,0,3,2,3,5,1,3,480,2.3762,202,1.0,202,3,3,1,0.0,11,1292,2087,60,1544,44,6,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:12.955735,12,32,12,0.0,40.9,0.0,84.4,4.23,201,201,192,0,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0,10,1039,1630,51,1284,32,6,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:13.618062,12,32,13,3.2,40.7,0.0,84.4,4.24,201,201,192,1,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0159,10,1206,1741,55,1348,44,7,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:14.280087,12,32,14,13.3,40.6,0.0,84.4,4.25,202,201,192,0,3,2,3,5,1,3,480,2.3762,202,1.0,202,3,3,1,0.0658,13,1397,1709,63,1354,50,7,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:14.945374,12,32,14,9.7,40.7,0.0,84.4,4.26,201,201,192,0,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0483,30,2484,1883,130,1427,92,16,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:15.655287,12,32,15,0.0,40.6,0.0,84.4,4.28,201,201,192,0,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0,30,2398,1900,122,1463,92,15,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:16.321158,12,32,16,3.4,40.5,0.0,84.4,4.29,201,201,192,0,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0169,0,704,1631,39,1249,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:16.994144,12,32,16,0.0,40.5,0.0,84.4,4.3,202,201,192,1,3,2,3,5,1,3,480,2.3762,202,1.0,202,3,3,1,0.0,0,987,1633,78,1737,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:17.658494,12,32,17,6.5,40.5,0.0,84.4,4.31,201,201,192,0,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0323,0,1517,1655,63,1253,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:18.321895,12,32,18,13.8,40.4,0.0,84.4,4.32,201,201,192,2,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0687,0,1229,1585,75,1258,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:19.014032,12,32,19,0.0,40.4,0.0,84.4,4.33,202,201,192,1,3,2,3,5,1,3,480,2.3762,202,1.0,202,3,3,1,0.0,0,808,1734,157,1200,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:19.694039,12,32,19,2.7,40.3,0.0,84.4,4.34,201,201,192,0,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0134,1,596,1577,32,1270,14,2,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:20.383809,12,32,20,0.0,40.2,0.0,84.4,4.36,201,201,192,1,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0,1,286,1539,16,1250,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:21.068926,12,32,21,6.7,40.2,0.0,84.4,4.37,201,201,192,0,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0333,0,552,1762,173,1199,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:21.752227,12,32,21,0.0,40.2,0.0,84.4,4.38,201,201,192,1,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0,0,703,1639,54,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:22.419228,12,32,22,0.0,40.2,0.0,84.4,4.39,201,201,192,1,3,2,3,5,1,3,480,2.3881,201,1.0,201,3,3,1,0.0,0,1164,1572,42,1250,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:23.078131,12,32,23,20.0,40.2,0.0,84.4,4.4,201,201,192,0,3,2,3,5,1,3,478,2.3781,201,1.0,201,3,3,1,0.0995,0,479,1519,21,1206,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:23.756073,12,32,23,0.0,40.2,0.0,84.4,4.41,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,930,1638,36,1272,14,2,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:24.432186,12,32,24,0.0,40.2,0.0,84.4,4.42,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,282,1533,12,1250,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:25.111665,12,32,25,10.0,40.2,0.0,84.4,4.43,201,201,192,1,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0498,0,204,1498,11,1199,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:25.788345,12,32,25,0.0,40.2,0.0,84.4,4.45,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,316,1537,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:26.585635,12,32,26,0.0,40.2,0.0,84.4,4.46,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,280,1533,12,1250,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:27.293222,12,32,27,0.0,40.2,0.0,84.4,4.47,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,315,1537,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:27.969878,12,32,27,0.0,40.2,0.0,84.4,4.48,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,264,1500,12,1207,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:28.636215,12,32,28,3.2,40.2,0.0,84.4,4.49,201,201,192,1,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0159,0,257,1532,12,1249,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:29.326580,12,32,29,0.0,40.2,0.0,84.4,4.5,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,334,1537,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:30.040010,12,32,30,3.3,40.2,0.0,84.4,4.52,201,201,192,1,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0164,0,179,1498,11,1201,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:30.711510,12,32,30,0.0,40.2,0.0,84.4,4.53,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,254,1533,12,1250,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:31.439899,12,32,31,0.0,40.2,0.0,84.4,4.54,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,327,1537,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:32.105823,12,32,32,3.2,40.2,0.0,84.4,4.55,202,201,192,0,3,2,3,5,1,3,477,2.3614,202,1.0,202,3,3,1,0.0158,0,193,1504,13,1199,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:32.780050,12,32,32,0.0,40.2,0.0,84.4,4.56,201,201,192,0,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0,0,353,1608,37,1252,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:33.451397,12,32,33,3.2,40.2,0.0,84.4,4.57,201,201,192,1,3,2,3,5,1,3,477,2.3731,201,1.0,201,3,3,1,0.0159,0,766,1719,55,1278,14,2,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:34.330352,12,32,34,1.5,40.2,0.0,84.4,4.59,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0075,0,257,1514,17,1200,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:34.996029,12,32,34,3.3,40.2,0.0,84.4,4.6,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0164,0,422,1548,18,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:35.684340,12,32,35,3.1,40.2,0.0,84.4,4.61,201,201,192,1,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0154,0,596,1725,76,1250,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:36.355162,12,32,36,0.0,40.2,0.0,84.4,4.62,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0,0,364,1546,16,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:37.033161,12,32,37,0.0,40.2,0.0,84.4,4.63,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0,0,191,1498,11,1199,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:37.705528,12,32,37,0.0,40.2,0.0,84.4,4.64,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0,0,301,1535,14,1250,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:38.379264,12,32,38,0.0,40.2,0.0,84.4,4.66,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0,0,385,1537,13,1259,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:39.052761,12,32,39,3.2,40.1,0.0,84.4,4.67,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0159,0,196,1498,11,1199,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:39.718907,12,32,39,3.2,40.2,0.0,84.4,4.68,201,201,192,1,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0159,0,479,1632,48,1251,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:40.393886,12,32,40,3.3,40.2,0.0,84.4,4.69,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0164,0,545,1639,47,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:41.063243,12,32,41,3.2,40.2,0.0,84.4,4.7,201,201,192,1,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0159,0,590,1744,94,1199,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:41.753558,12,32,41,0.0,40.2,0.0,84.4,4.71,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,541,1677,60,1250,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:42.446320,12,32,42,0.0,40.2,0.0,84.4,4.72,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,464,1565,26,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:43.119897,12,32,43,3.1,40.2,0.0,84.4,4.73,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0154,0,329,1531,23,1206,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:43.802741,12,32,43,2.9,40.2,0.0,84.4,4.75,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0144,0,431,1607,15,1270,14,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:44.527015,12,32,44,0.0,40.2,0.0,84.4,4.76,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,321,1538,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:45.211320,12,32,45,0.0,40.2,0.0,84.4,4.77,201,201,192,1,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,196,1499,11,1200,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:45.884588,12,32,45,0.0,40.2,0.0,84.4,4.78,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,262,1532,12,1249,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:46.587904,12,32,46,0.0,40.2,0.0,84.4,4.79,201,201,192,1,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,332,1537,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:47.293713,12,32,47,0.0,40.2,0.0,84.4,4.8,202,201,192,0,3,2,3,5,1,3,476,2.3564,202,1.0,202,3,3,1,0.0,0,253,1538,47,1737,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:47.953406,12,32,47,0.0,40.2,0.0,84.4,4.82,201,201,192,1,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,302,1532,12,1258,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:48.644273,12,32,48,0.0,40.2,0.0,84.4,4.83,201,201,192,1,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,331,1537,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:49.380219,12,32,49,0.0,40.2,0.0,84.4,4.84,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,179,1495,10,1198,2,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:50.054908,12,32,50,0.0,40.2,0.0,84.4,4.85,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,297,1537,14,1251,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:50.719141,12,32,50,0.0,40.2,0.0,84.4,4.86,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,334,1537,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:51.374652,12,32,51,3.4,40.2,0.0,84.4,4.87,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0169,0,137,1494,10,1197,2,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:52.066805,12,32,52,3.2,40.1,0.0,84.4,4.88,201,201,192,1,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0159,0,316,1537,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:52.758978,12,32,52,0.0,40.2,0.0,84.4,4.89,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,281,1537,13,1252,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:53.453731,12,32,53,0.0,40.2,0.0,84.4,4.91,201,201,192,1,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,259,1579,10,1250,12,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:54.115591,12,32,54,0.0,40.2,0.0,84.4,4.92,201,201,192,0,3,2,3,5,1,3,476,2.3682,201,1.0,201,3,3,1,0.0,0,299,1529,16,1227,4,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:54.787351,12,32,54,0.0,40.1,0.0,84.4,4.93,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0,0,281,1536,13,1251,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:55.445561,12,32,55,0.0,40.1,0.0,84.4,4.94,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0,0,233,1532,12,1249,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:56.115084,12,32,56,0.0,40.1,0.0,84.4,4.95,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0,0,213,1499,11,1200,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:56.777010,12,32,56,3.0,40.1,0.0,84.4,4.96,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0149,0,267,1536,13,1251,8,1,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:57.442959,12,32,57,0.0,40.1,0.0,84.4,4.97,201,201,192,0,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0,0,228,1533,13,1249,8,0,level3_stealth_exfiltration_behavior,ebpf,malicious
2026-05-24 12:32:58.140112,12,32,58,0.0,40.1,0.0,84.4,4.98,201,201,192,1,3,2,3,5,1,3,474,2.3582,201,1.0,201,3,3,1,0.0,0,294,1502,11,1208,2,1,level3_stealth_exfiltration_behavior,ebpf,malicious
